id,name,state_code
1503077,Garrafão do Norte,pa
1504059,Mãe do Rio,pa
1508126,Ulianópolis,pa
1600709,Tartarugalzinho,ap
2100709,Anajatuba,ma
2100956,Arame,ma
2101707,Barreirinhas,ma
2102002,Bom Jardim,ma
2102077,Bom Lugar,ma
2102325,Buriticupu,ma
2102705,Cantanhede,ma
2102903,Carutapera,ma
2105104,Icatu,ma
2105401,Itapecuru Mirim,ma
2105708,Lago da Pedra,ma
2106003,Lima Campos,ma
2106326,Maracaçumé,ma
2106631,Matões do Norte,ma
2107506,Paço do Lumiar,ma
2108207,Pedreiras,ma
2108504,Pindaré-Mirim,ma
2108702,Pio XII,ma
2110039,Santa Luzia do Paruá,ma
2112233,Trizidela do Vale,ma
2112704,Vargem Grande,ma
2112852,Vila Nova dos Martírios,ma
2301703,Aurora,ce
2302800,Canindé,ce
2303204,Caririaçu,ce
2303709,Caucaia,ce
2303808,Cedro,ce
2304004,Coreaú,ce
2304103,Crateús,ce
2304509,Frecheirinha,ce
2304608,General Sampaio,ce
2305209,Hidrolândia,ce
2305308,Ibiapina,ce
2306256,Itaitinga,ce
2306603,Itatira,ce
2306900,Jaguaribe,ce
2307304,Juazeiro do Norte,ce
2307601,Limoeiro do Norte,ce
2308302,Milagres,ce
2308500,Mombaça,ce
2308609,Monsenhor Tabosa,ce
2308906,Morrinhos,ce
2309102,Mulungu,ce
2309607,Pacajus,ce
2310407,Paramoti,ce
2310803,Pereiro,ce
2312205,Santa Quitéria,ce
2312304,São Benedito,ce
2313302,Tauá,ce
2313351,Tejuçuoca,ce
2313401,Tianguá,ce
2313906,Uruoca,ce
2401909,Caiçara do Rio do Vento,rn
2402501,Carnaubais,rn
2403301,Encanto,rn
2403905,Francisco Dantas,rn
2404903,Itaú,rn
2405108,Jandaíra,rn
2405900,João Dias,rn
2407005,Luís Gomes,rn
2407252,Major Sales,rn
2408300,Nova Cruz,rn
2409100,Passa e Fica,rn
2409407,Pau dos Ferros,rn
2410306,Serra Caiada,rn
2411007,Rodolfo Fernandes,rn
2411205,Santa Cruz,rn
2411908,São Francisco do Oeste,rn
2413706,Sítio Novo,rn
2413805,Taboleiro Grande,rn
2500403,Alagoa Nova,pb
2502201,Bom Jesus,pb
2502706,Borborema,pb
2503308,Cachoeira dos Índios,pb
2503506,Cacimba de Dentro,pb
2503704,Cajazeiras,pb
2503753,Cajazeirinhas,pb
2504033,Capim,pb
2504801,Coremas,pb
2505238,Cuité de Mamanguape,pb
2507309,Jacaraú,pb
2507408,Jericó,pb
2509156,Marizópolis,pb
2509404,Mogeiro,pb
2511707,Pilõezinhos,pb
2512747,Riachão,pb
2514453,São José dos Ramos,pb
2515906,Serraria,pb
2515930,Sertãozinho,pb
2516003,Solânea,pb
2516409,Tacima,pb
2614303,Moreilândia,pe
2616100,Verdejante,pe
